Region,Hour,Technology,Fuel,Value
DE,79,SolarPV,Power,-0.0
FR,79,SolarPV,Power,-0.0
NO,79,SolarPV,Power,-0.0
DK,79,SolarPV,Power,-0.0
UK,79,SolarPV,Power,-0.0
DE,80,SolarPV,Power,-0.0
FR,80,SolarPV,Power,-0.0
NO,80,SolarPV,Power,-0.0
DK,80,SolarPV,Power,-0.0
UK,80,SolarPV,Power,-0.0
DE,81,SolarPV,Power,-0.0
FR,81,SolarPV,Power,-0.0
NO,81,SolarPV,Power,-0.0
DK,81,SolarPV,Power,-0.0
UK,81,SolarPV,Power,-0.0
DE,82,SolarPV,Power,-0.0
FR,82,SolarPV,Power,-0.0
NO,82,SolarPV,Power,-0.0
DK,82,SolarPV,Power,-0.0
UK,82,SolarPV,Power,-0.0
DE,83,SolarPV,Power,-0.0
FR,83,SolarPV,Power,-0.0
NO,83,SolarPV,Power,-0.0
DK,83,SolarPV,Power,-0.0
UK,83,SolarPV,Power,-0.0
DE,84,SolarPV,Power,-0.0
FR,84,SolarPV,Power,-0.0
NO,84,SolarPV,Power,-0.0
DK,84,SolarPV,Power,-0.0
UK,84,SolarPV,Power,-0.0
DE,85,SolarPV,Power,-0.0
FR,85,SolarPV,Power,-0.0
NO,85,SolarPV,Power,-0.0
DK,85,SolarPV,Power,-0.0
UK,85,SolarPV,Power,-0.0
DE,86,SolarPV,Power,-0.0
FR,86,SolarPV,Power,-0.0
NO,86,SolarPV,Power,-0.0
DK,86,SolarPV,Power,-0.0
UK,86,SolarPV,Power,-0.0
DE,87,SolarPV,Power,-0.0
FR,87,SolarPV,Power,-0.0
NO,87,SolarPV,Power,-0.0
DK,87,SolarPV,Power,-0.0
UK,87,SolarPV,Power,-0.0
DE,88,SolarPV,Power,-0.0
FR,88,SolarPV,Power,-0.0
NO,88,SolarPV,Power,-0.0
DK,88,SolarPV,Power,-0.0
UK,88,SolarPV,Power,-0.0
DE,89,SolarPV,Power,-0.0
FR,89,SolarPV,Power,-0.0
NO,89,SolarPV,Power,-0.0
DK,89,SolarPV,Power,-0.0
UK,89,SolarPV,Power,-0.0
DE,90,SolarPV,Power,-0.0
FR,90,SolarPV,Power,-0.0
NO,90,SolarPV,Power,-0.0
DK,90,SolarPV,Power,-0.0
UK,90,SolarPV,Power,-0.0
DE,91,SolarPV,Power,-0.0
FR,91,SolarPV,Power,-0.0
NO,91,SolarPV,Power,-0.0
DK,91,SolarPV,Power,-0.0
UK,91,SolarPV,Power,-0.0
DE,92,SolarPV,Power,-0.0
FR,92,SolarPV,Power,-0.0
NO,92,SolarPV,Power,-0.0
DK,92,SolarPV,Power,-0.0
UK,92,SolarPV,Power,-0.0
DE,93,SolarPV,Power,-0.0
FR,93,SolarPV,Power,-0.0
NO,93,SolarPV,Power,-0.0
DK,93,SolarPV,Power,-0.0
UK,93,SolarPV,Power,-0.0
DE,94,SolarPV,Power,-0.0
FR,94,SolarPV,Power,-0.0
NO,94,SolarPV,Power,-0.0
DK,94,SolarPV,Power,-0.0
UK,94,SolarPV,Power,-0.0
DE,95,SolarPV,Power,-0.0
FR,95,SolarPV,Power,-0.0
NO,95,SolarPV,Power,-0.0
DK,95,SolarPV,Power,-0.0
UK,95,SolarPV,Power,-0.0
DE,96,SolarPV,Power,-0.0
FR,96,SolarPV,Power,-0.0
NO,96,SolarPV,Power,-0.0
DK,96,SolarPV,Power,-0.0
UK,96,SolarPV,Power,-0.0
DE,97,SolarPV,Power,-0.0
FR,97,SolarPV,Power,-0.0
NO,97,SolarPV,Power,-0.0
DK,97,SolarPV,Power,-0.0
UK,97,SolarPV,Power,-0.0
DE,98,SolarPV,Power,-0.0
FR,98,SolarPV,Power,-0.0
NO,98,SolarPV,Power,-0.0
DK,98,SolarPV,Power,-0.0
UK,98,SolarPV,Power,-0.0
DE,99,SolarPV,Power,-0.0
FR,99,SolarPV,Power,-0.0
NO,99,SolarPV,Power,-0.0
DK,99,SolarPV,Power,-0.0
UK,99,SolarPV,Power,-0.0
DE,100,SolarPV,Power,-0.0
FR,100,SolarPV,Power,-0.0
NO,100,SolarPV,Power,-0.0
DK,100,SolarPV,Power,-0.0
UK,100,SolarPV,Power,-0.0
DE,101,SolarPV,Power,-0.0
FR,101,SolarPV,Power,-0.0
NO,101,SolarPV,Power,-0.0
DK,101,SolarPV,Power,-0.0
UK,101,SolarPV,Power,-0.0
DE,102,SolarPV,Power,-0.0
FR,102,SolarPV,Power,-0.0
NO,102,SolarPV,Power,-0.0
DK,102,SolarPV,Power,-0.0
UK,102,SolarPV,Power,-0.0
DE,103,SolarPV,Power,-0.0
FR,103,SolarPV,Power,-0.0
NO,103,SolarPV,Power,-0.0
DK,103,SolarPV,Power,-0.0
UK,103,SolarPV,Power,-0.0
DE,104,SolarPV,Power,-0.0
FR,104,SolarPV,Power,-0.0
NO,104,SolarPV,Power,-0.0
DK,104,SolarPV,Power,-0.0
UK,104,SolarPV,Power,-0.0
DE,105,SolarPV,Power,-0.0
FR,105,SolarPV,Power,-0.0
NO,105,SolarPV,Power,-0.0
DK,105,SolarPV,Power,-0.0
UK,105,SolarPV,Power,-0.0
DE,106,SolarPV,Power,-0.0
FR,106,SolarPV,Power,-0.0
NO,106,SolarPV,Power,-0.0
DK,106,SolarPV,Power,-0.0
UK,106,SolarPV,Power,-0.0
DE,107,SolarPV,Power,-0.0
FR,107,SolarPV,Power,-0.0
NO,107,SolarPV,Power,-0.0
DK,107,SolarPV,Power,-0.0
UK,107,SolarPV,Power,-0.0
DE,108,SolarPV,Power,-0.0
FR,108,SolarPV,Power,-0.0
NO,108,SolarPV,Power,-0.0
DK,108,SolarPV,Power,-0.0
UK,108,SolarPV,Power,-0.0
DE,109,SolarPV,Power,-0.0
FR,109,SolarPV,Power,-0.0
